Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
DF cost,Yes,THB 660.00,THB 660.00,On duty,"August 4, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"August 5, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 390.00,THB 390.00,On duty,"August 5, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"August 9, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 390.00,THB 360.00,On duty,"August 9, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"August 13, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 420.00,THB 420.00,On duty,"August 13, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"August 15, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 360.00,THB 360.00,On duty,"August 15, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
Hour cost,Yes,THB 800.00,THB 800.00,On duty,"August 19, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 210.00,THB 210.00,On duty,"August 19, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"August 20, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),👍🏼เงิน top up_AUG24 (https://app.notion.com/p/top-up_AUG24-783c183882564011aa69d11cbc1172d1?pvs=21)
Hour cost,Yes,THB 600.00,THB 600.00,On duty,"August 20, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),⌚เงินรายชั่วโมง_AUG24 (https://app.notion.com/p/_AUG24-9d906679b5554473987687c747070f51?pvs=21)
DF cost,Yes,THB 510.00,THB 510.00,On duty,"August 20, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🤷‍♂️เงิน DF_AUG24 (https://app.notion.com/p/DF_AUG24-ed383e2091174c9393da9a3b46a139cb?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"August 26, 2024",August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),🏧เงินเดือนจาก สสจ._AUG24 (https://app.notion.com/p/_AUG24-d7f1f1f262614f3b9a61f244cd4d74c4?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,"THB 1,000.00",On duty,"September 28, 2024",September 24 (https://app.notion.com/p/September-24-2acf86f7c3554a70b26f5e740fab86b1?pvs=21),💉TTCM_SEP24 (https://app.notion.com/p/TTCM_SEP24-01ab80431df14af7be1217c364e444ac?pvs=21)
